Question ID,Answer
100716,"[('chester_a._arthur', 0.003848484848484849), ('missouri_compromise', 0.0035), ('henry_hudson', 0.003333333333333333), ('anti-masonic_party', 0.0028333333333333335), ('john_quincy_adams', 0.0028111111111111114), ('great_northern_war', 0.0027), ('benjamin_harrison', 0.0024333333333333334), ('whiskey_rebellion', 0.0023595238095238096), ('oda_nobunaga', 0.002340909090909091), ('mary_baker_eddy', 0.002333333333333333), ('ulysses_s._grant', 0.002333333333333333)]"
102459,"[('nelson_mandela', 0.0020833333333333333), ('shaka', 0.002), ('alexander_kerensky', 0.002), ('georges_clemenceau', 0.002), ('battle_of_caporetto', 0.0016666666666666666), ('ulysses_s._grant', 0.0016666666666666666), ('john_foster_dulles', 0.0016666666666666666), ('tammany_hall', 0.0015768115942028987), ('ghana', 0.0015333333333333334), ('battle_of_gettysburg', 0.0015), ('henry_l._stimson', 0.0015)]"
102774,"[('teutonic_knights', 0.1032354792266557), ('great_northern_war', 0.05242899318454238), ('carthage', 0.05163333333333334), ('amelia_earhart', 0.051500000000000004), ('peace_of_westphalia', 0.05103333333333333), ('john_hay', 0.051000000000000004), ('hugh_capet', 0.05095), ('peloponnesian_war', 0.05066666666666667), ('tammany_hall', 0.03698809523809524), ('alexander_ii_of_russia', 0.035583333333333335), ('battle_of_tannenberg', 0.034866666666666664)]"
102977,"[('arthur_wellesley,_1st_duke_of_wellington', 0.0026666666666666666), ('darius_i', 0.0025333333333333336), ('teutonic_knights', 0.0024761904761904764), ('john_wycliffe', 0.002333333333333333), ('vitus_bering', 0.0023), ('oda_nobunaga', 0.0022500000000000003), ('louis_riel', 0.0022428571428571432), ('george_washington', 0.0021666666666666666), ('whiskey_rebellion', 0.0021523809523809525), ('babur', 0.0020833333333333333), ('carthage', 0.002025)]"
104790,"[('lewis_cass', 0.10133333333333334), ('kwame_nkrumah', 0.051634199134199144), ('john_foster_dulles', 0.050333333333333334), ('equal_rights_amendment', 0.050199999999999995), ('nelson_mandela', 0.03333333333333333), ('khmer_empire', 0.026642857142857145), ('bonus_army', 0.013822023809523808), ('benjamin_harrison', 0.004291666666666667), ('taiping_rebellion', 0.003928822055137844), ('mikhail_gorbachev', 0.003666666666666667), ('tammany_hall', 0.003508547008547009)]"
105161,"[('finland', 0.08358333333333334), ('council_of_trent', 0.0717409090909091), ('treaty_of_tordesillas', 0.0598409090909091), ('war_of_the_spanish_succession', 0.051540909090909096), ('falklands_war', 0.0512), ('margaret_sanger', 0.051000000000000004), ('civilian_conservation_corps', 0.050333333333333334), ('david_livingstone', 0.05025), ('magna_carta', 0.05), ('greenback_party', 0.05), ('battle_of_the_thames', 0.038533333333333336)]"
105217,"[('khmer_empire', 0.025500000000000002), ('equal_rights_amendment', 0.018166666666666668), ('cleisthenes', 0.002090909090909091), ('congress_of_vienna', 0.002), ('roger_b._taney', 0.0019166666666666668), ('alexander_ii_of_russia', 0.0018333333333333333), ('napoleon_iii', 0.0015), ('henry_i_of_england', 0.0013333333333333333), ('david_livingstone', 0.0013333333333333333), (""coxey's_army"", 0.00125), ('henry_l._stimson', 0.00125)]"
105322,"[('indira_gandhi', 0.052250000000000005), ('james_a._garfield', 0.035166666666666666), ('henry_i_of_england', 0.005208333333333334), ('philip_ii_of_macedon', 0.0045000000000000005), ('songhai_empire', 0.004317099567099567), ('henry_vii_of_england', 0.004166666666666667), ('john_brown_(abolitionist)', 0.004166666666666667), ('cyrus_the_great', 0.0040750000000000005), ('tammany_hall', 0.004071428571428571), ('black_hawk_war', 0.00405952380952381), ('william_mckinley', 0.004033333333333333)]"
105728,"[('wounded_knee_massacre', 0.051000000000000004), ('lateran_treaty', 0.034), ('peterloo_massacre', 0.033833333333333326), ('maine', 0.033791666666666664), ('jamaica', 0.02117777777777778), ('haymarket_affair', 0.017677777777777775), ('ancient_corinth', 0.014924603174603174), ('congress_of_berlin', 0.0028666666666666667), ('clayton_antitrust_act', 0.0028333333333333335), ('hanseatic_league', 0.0027222222222222222), ('hittites', 0.0025)]"
106316,"[('albany_congress', 0.051500000000000004), ('john_paul_jones', 0.051000000000000004), ('brook_farm', 0.051000000000000004), ('second_vatican_council', 0.051000000000000004), ('equal_rights_amendment', 0.03383333333333333), ('tecumseh', 0.0035), ('battle_of_the_thames', 0.0032625), ('ulysses_s._grant', 0.003), ('rutherford_b._hayes', 0.003), ('henry_i_of_england', 0.0028333333333333335), ('babur', 0.0028333333333333335)]"
