Question ID,Answer
100716,"[('golden_horde', 0.02525), ('aaron_burr', 0.016666666666666666), ('seneca_falls_convention', 0.002), ('mali_empire', 0.0011666666666666665), ('khmer_empire', 0.0011666666666666665), ('mary_baker_eddy', 0.001), ('george_h._pendleton', 0.001), ('oda_nobunaga', 0.001), ('battle_of_plassey', 0.001), ('darius_i', 0.0005333333333333334), ('great_northern_war', 0.0005)]"
102459,"[('louis_riel', 0.025), ('alfred_the_great', 0.020250000000000004), ('peterloo_massacre', 0.001), ('cyrus_the_great', 0.001), ('battle_of_trenton', 0.001), ('roger_b._taney', 0.00075), ('battle_of_trafalgar', 0.0006666666666666666), ('battle_of_gettysburg', 0.0005), ('william_mckinley', 0.0005), ('nikita_khrushchev', 0.0005), ('caligula', 0.0005)]"
102774,"[('peterloo_massacre', 0.025), ('louis_riel', 0.025), ('great_northern_war', 0.0048440476190476185), ('battle_of_plassey', 0.0015), ('teutonic_knights', 0.0015), ('battle_of_tannenberg', 0.0013333333333333333), ('third_crusade', 0.0012333333333333332), ('napoleon_iii', 0.001), ('war_of_the_pacific', 0.001), ('alexander_kerensky', 0.001), ('black_hole_of_calcutta', 0.001)]"
102977,"[('taiping_rebellion', 0.017), ('paris_commune', 0.01461904761904762), ('songhai_empire', 0.0021111111111111113), ('david_livingstone', 0.0015), ('oda_nobunaga', 0.001), ('battle_of_plassey', 0.001), ('black_panther_party', 0.0008333333333333333), ('anti-masonic_party', 0.00075), ('tammany_hall', 0.0006428571428571428), ('great_northern_war', 0.0005), ('roger_b._taney', 0.0005)]"
104790,"[('knights_of_labor', 0.034), ('ming_dynasty', 0.03333333333333333), ('clayton_antitrust_act', 0.025), ('dorr_rebellion', 0.025), ('bonus_army', 0.0021944444444444446), ('tammany_hall', 0.001403846153846154), ('edward_the_confessor', 0.0013333333333333333), ('battle_of_the_coral_sea', 0.001), ('huldrych_zwingli', 0.001), ('ghana', 0.001), ('ambrose_burnside', 0.001)]"
105161,"[('battle_of_the_thames', 0.025), ('great_northern_war', 0.0022500000000000003), ('teutonic_knights', 0.0013333333333333333), ('finland', 0.0013333333333333333), ('hanseatic_league', 0.0011666666666666668), ('peace_of_westphalia', 0.001), ('council_of_trent', 0.001), ('napoleon_iii', 0.001), ('benjamin_harrison', 0.001), ('credit_mobilier_of_america_scandal', 0.001), ('night_of_the_long_knives', 0.001)]"
105217,"[('roger_b._taney', 0.001), ('napoleon_iii', 0.001), ('benjamin_harrison', 0.001), ('tammany_hall', 0.001), ('mapp_v._ohio', 0.001), ('battle_of_austerlitz', 0.001), ('peterloo_massacre', 0.0009583333333333334), ('justinian_i', 0.0005333333333333334), ('amelia_earhart', 0.0005), ('black_panther_party', 0.0005), ('treaty_of_utrecht', 0.0005)]"
105322,"[('zebulon_pike', 0.03333333333333333), ('edward_the_confessor', 0.025500000000000002), ('shaka', 0.025), ('council_of_trent', 0.0025), ('herbert_hoover', 0.002), ('benjamin_harrison', 0.0018333333333333333), ('battle_of_trenton', 0.0015833333333333333), ('tecumseh', 0.0014166666666666666), ('chester_a._arthur', 0.0013333333333333333), ('arthur_wellesley,_1st_duke_of_wellington', 0.0012500000000000002), ('mapp_v._ohio', 0.0012000000000000001)]"
105728,"[('council_of_trent', 0.028), ('second_bank_of_the_united_states', 0.002), ('fourth_crusade', 0.002), ('clayton_antitrust_act', 0.0013333333333333333), ('kwame_nkrumah', 0.0011250000000000001), ('tammany_hall', 0.0010833333333333333), ('peloponnesian_war', 0.001), ('council_of_chalcedon', 0.001), ('cleisthenes', 0.0009166666666666665), ('paris_commune', 0.0008333333333333333), ('hanseatic_league', 0.00075)]"
106316,"[('battle_of_trenton', 0.028000000000000004), ('tammany_hall', 0.02656666666666667), ('charles_stewart_parnell', 0.020000000000000004), ('muhammad_ali_jinnah', 0.014535714285714285), ('lateran_treaty', 0.001), ('peterloo_massacre', 0.001), ('great_northern_war', 0.001), ('ghana', 0.001), ('ulysses_s._grant', 0.001), ('khmer_empire', 0.001), ('jawaharlal_nehru', 0.001)]"
