Question ID,Answer
103740,"[('the_theory_of_the_leisure_class', 0.10428571428571429), ('diwali', 0.10144642857142856), ('the_consolation_of_philosophy', 0.07026666666666669), ('pragmatism', 0.055227777777777765), ('hades', 0.05468232323232325), ('an_enquiry_concerning_human_understanding', 0.053625000000000006), ('thorstein_veblen', 0.05212121212121214), ('daniel', 0.05192717086834734), ('upanishads', 0.037142857142857144), ('either/or', 0.03713333333333333), ('alfred_adler', 0.03673809523809525)]"
105077,"[('krishna', 0.05036666666666667), ('the_dagda', 0.05011111111111111), ('ishtar', 0.05003703703703704), ('lake_malawi', 0.05), ('rigveda', 0.033666666666666664), ('odin', 0.025333333333333336), ('thoth', 0.0252), ('daniel', 0.025142857142857144), ('artemis', 0.025045454545454548), ('indra', 0.020529411764705886), ('rosh_hashanah', 0.020250000000000004)]"
105189,"[('odin', 0.11747222222222226), ('cadmus', 0.10100000000000002), ('baldr', 0.08546352813852813), ('carl_rogers', 0.08171794871794871), ('ishtar', 0.0740681688681689), ('tezcatlipoca', 0.07293713450292401), ('stigmata', 0.05354761904761905), ('santeria', 0.05351919191919191), ('janus', 0.052444623655913986), ('phillips_curve', 0.05243333333333336), ('symposium_(plato)', 0.051366666666666665)]"
105245,"[('pragmatism', 0.14077499999999998), ('beyond_good_and_evil', 0.13960952380952382), ('daniel', 0.11826488095238095), ('ruth_benedict', 0.11162976190476193), ('georg_wilhelm_friedrich_hegel', 0.10388709150326798), ('yom_kippur', 0.10178596491228072), ('guru_nanak', 0.10119788030596856), ('laffer_curve', 0.10045000000000001), ('william_james', 0.07866666666666668), ('ahura_mazda', 0.07707619047619049), ('sisyphus', 0.059658333333333334)]"
106393,"[('milton_friedman', 0.05107692307692308), ('phillips_curve', 0.05065833333333334), ('sikhism', 0.05007692307692308), ('martin_heidegger', 0.050021739130434784), ('indifference_curve', 0.03358333333333333), ('ferdinand_de_saussure', 0.0334), ('franz_boas', 0.033383333333333334), ('indra', 0.03337333333333333), ('thomas_hobbes', 0.03337037037037037), ('john_stuart_mill', 0.025142857142857144), ('beyond_good_and_evil', 0.025055555555555557)]"
106533,"[('bellerophon', 0.06730952380952383), ('jainism', 0.05065800865800866), ('epic_of_gilgamesh', 0.05065080068982509), ('the_protestant_ethic_and_the_spirit_of_capitalism', 0.050605263157894737), ('bali', 0.04145952380952381), ('rama', 0.03459848484848485), ('coming_of_age_in_samoa', 0.034420512820512825), ('hypnos', 0.03373242955874536), ('leviathan_(book)', 0.025153846153846155), ('poseidon', 0.02109798850574713), ('hera', 0.011731818181818182)]"
106925,"[('zoroastrianism', 0.03333333333333333), ('vishnu', 0.03333333333333333), ('cybele', 0.025), ('quetzalcoatl', 0.020500000000000004), ('an_essay_concerning_human_understanding', 0.001), ('isaiah', 0.001), ('anomie', 0.001), ('either/or', 0.001), ('critique_of_pure_reason', 0.001), ('the_consolation_of_philosophy', 0.001), ('irrawaddy_river', 0.001)]"
10738,"[('franz_boas', 0.1964242424242424), ('stanley_milgram', 0.10383746993746996), ('marcel_mauss', 0.10262857142857143), ('ruth_benedict', 0.09558993316624896), ('bronislaw_malinowski', 0.05506129831129832), ('hera', 0.05247237762237761), ('georg_wilhelm_friedrich_hegel', 0.0363282374488257), ('immanuel_kant', 0.0359693703568384), ('coming_of_age_in_samoa', 0.03531538461538462), ('taliesin', 0.03519122807017543), ('tezcatlipoca', 0.0265384370015949)]"
10752,"[('thomas_hobbes', 0.050270370370370375), ('alfred_adler', 0.05023376623376624), ('edward_sapir', 0.0335859649122807), ('margaret_mead', 0.025020833333333336), ('abraham_maslow', 0.020362528382040578), ('cognitive_dissonance', 0.002142857142857143), ('gunnar_myrdal', 0.0014500000000000001), ('bali', 0.001369047619047619), ('stanley_milgram', 0.0013173400673400673), ('diomedes', 0.00125), ('the_theory_of_the_leisure_class', 0.00125)]"
107821,"[('martin_heidegger', 0.16382268461007599), ('nominalism', 0.15), ('epicurus', 0.10298333333333333), ('stoicism', 0.10220833333333335), ('janus', 0.10170181771633385), ('the_protestant_ethic_and_the_spirit_of_capitalism', 0.10130526315789473), ('indra', 0.10093633484162896), ('heracles', 0.10047482391323137), ('daniel', 0.10038349885408707), ('sri_lanka', 0.10038333333333332), ('stigmata', 0.10028571428571428)]"
