Question ID,Answer
102781,"[('yasunari_kawabata', 0.03383333333333333), ('graham_greene', 0.020000000000000004), ('daedalus', 0.016666666666666666), ('madame_bovary', 0.003533333333333333), ('the_sun_also_rises', 0.003083333333333333), ('jane_eyre', 0.0028333333333333335), ('the_crying_of_lot_49', 0.0024318181818181813), ('on_the_road', 0.002366666666666667), ('far_from_the_madding_crowd', 0.002333333333333333), ('dream_of_the_red_chamber', 0.0022500000000000003), ('a_room_with_a_view', 0.0022166666666666667)]"
103026,"[('the_trial', 0.05116666666666667), ('milan_kundera', 0.033666666666666664), ('joseph_conrad', 0.025), ('matthew_arnold', 0.025), ('all_my_sons', 0.02033333333333334), ('steppenwolf_(novel)', 0.007533333333333334), ('death_in_venice', 0.0011666666666666665), ('emily_dickinson', 0.001), ('the_frogs', 0.001), ('in_search_of_lost_time', 0.001), ('john_updike', 0.001)]"
104916,"[('spoon_river_anthology', 0.002333333333333333), ('langston_hughes', 0.0015), ('jorge_luis_borges', 0.0014166666666666668), ('sinclair_lewis', 0.00125), ('nikolai_gogol', 0.0012000000000000001), ('anthony_burgess', 0.001), ('in_search_of_lost_time', 0.001), ('ethan_frome', 0.001), ('sylvia_plath', 0.001), ('zora_neale_hurston', 0.00075), ('thomas_pynchon', 0.00075)]"
105196,"[('the_waste_land', 0.025), ('edward_albee', 0.025), ('arthur_rimbaud', 0.025), ('d._h._lawrence', 0.020000000000000004), ('the_rape_of_the_lock', 0.001), ('madame_bovary', 0.0005), ('ben_jonson', 0.0005), ('sonnets_from_the_portuguese', 0.0005), ('crime_and_punishment', 0.0005), ('a_raisin_in_the_sun', 0.0005), ('joseph_conrad', 0.0003333333333333333)]"
105378,"[('pygmalion_(play)', 0.03333333333333333), ('the_rime_of_the_ancient_mariner', 0.03333333333333333), ('miss_julie', 0.025), ('sons_and_lovers', 0.016666666666666666), ('ethan_frome', 0.00125), ('ezra_pound', 0.001), ('the_house_of_the_spirits', 0.001), ('mrs_dalloway', 0.001), ('yukio_mishima', 0.001), ('a_room_with_a_view', 0.001), ('silent_cry', 0.00075)]"
106631,"[('henry_fielding', 0.051000000000000004), ('william_cullen_bryant', 0.026500000000000003), ('the_misanthrope', 0.02525), ('hedda_gabler', 0.0035), ('death_in_venice', 0.0031666666666666666), ('henry_miller', 0.002666666666666667), ('silas_marner', 0.0026666666666666666), ('three_sisters_(play)', 0.0024333333333333334), ('the_importance_of_being_earnest', 0.0024000000000000002), ('all_my_sons', 0.0023333333333333335), ('the_master_builder', 0.002333333333333333)]"
107044,"[('the_age_of_innocence', 0.001), ('john_donne', 0.0005), ('j._d._salinger', 0.0005), ('henry_wadsworth_longfellow', 0.0005), ('henry_james', 0.0003333333333333333), ('sister_carrie', 0.0003333333333333333), ('chinua_achebe', 0.0003333333333333333), ('william_golding', 0.0003333333333333333), ('kenzaburo_oe', 0.0003333333333333333), ('rupert_brooke', 0.0003333333333333333), ('william_wordsworth', 0.0003333333333333333)]"
107205,"[('sister_carrie', 0.033433333333333336), ('the_cherry_orchard', 0.030783333333333347), ('the_seagull', 0.02658333333333334), ('to_the_lighthouse', 0.025583333333333336), ('the_rape_of_the_lock', 0.025), ('arthur_miller', 0.004277777777777778), ('three_sisters_(play)', 0.003416666666666667), ('the_alchemist_(play)', 0.0029), ('glengarry_glen_ross', 0.002333333333333333), ('a_raisin_in_the_sun', 0.0021666666666666666), ('volpone', 0.002076923076923077)]"
107709,"[('love_in_the_time_of_cholera', 0.021996212121212128), ('middlemarch', 0.018083333333333333), ('dream_of_the_red_chamber', 0.003333333333333333), ('far_from_the_madding_crowd', 0.003), ('on_the_road', 0.0028333333333333335), ('jane_eyre', 0.0025), ('wuthering_heights', 0.002266666666666667), ('a_raisin_in_the_sun', 0.0022500000000000003), ('three_sisters_(play)', 0.0021666666666666666), (""who's_afraid_of_virginia_woolf?"", 0.0021666666666666666), ('the_seagull', 0.0021666666666666666)]"
107716,"[('the_mayor_of_casterbridge', 0.034999999999999996), ('the_ambassadors', 0.03383333333333333), ('cormac_mccarthy', 0.025500000000000002), ('the_rivals', 0.020250000000000004), ('far_from_the_madding_crowd', 0.0035), ('arms_and_the_man', 0.0032500000000000003), ('dream_of_the_red_chamber', 0.003), ('major_barbara', 0.0029166666666666672), ('jane_eyre', 0.00275), ('the_iceman_cometh', 0.0027222222222222222), ('three_sisters_(play)', 0.0023611111111111116)]"
