Question ID,Answer
103740,"[('milton_friedman', 0.03333333333333333), ('beyond_good_and_evil', 0.026000000000000002), ('tractatus_logico-philosophicus', 0.021000000000000005), ('immanuel_kant', 0.020700000000000003), ('friedrich_hayek', 0.020533333333333337), ('the_theory_of_the_leisure_class', 0.0055000000000000005), ('hades', 0.0033333333333333335), ('the_republic_(plato)', 0.0023666666666666667), ('william_james', 0.002333333333333333), ('the_consolation_of_philosophy', 0.0019833333333333335), ('pragmatism', 0.0018333333333333333)]"
105077,"[('freyja', 0.026500000000000003), ('krishna', 0.020000000000000004), ('hanuman', 0.016833333333333332), ('hera', 0.001), ('ishtar', 0.0007), ('deirdre', 0.0005), ('the_dagda', 0.0005), ('atalanta', 0.0005), ('indra', 0.0004), ('hades', 0.0004), ('tantalus', 0.000375)]"
105189,"[('beyond_good_and_evil', 0.0505), ('bystander_effect', 0.004), ('thorstein_veblen', 0.0015), ('robert_nozick', 0.001), ('comparative_advantage', 0.001), ('ronald_coase', 0.001), ('fear_and_trembling', 0.00075), ('the_golden_bough', 0.00075), ('the_structure_of_scientific_revolutions', 0.0006666666666666666), ('martin_heidegger', 0.0006666666666666666), ('pragmatism', 0.0005)]"
105245,"[('georg_wilhelm_friedrich_hegel', 0.051583333333333335), ('carl_rogers', 0.05), ('tractatus_logico-philosophicus', 0.022200000000000004), ('the_republic_(plato)', 0.02133333333333334), ('pragmatism', 0.017283333333333338), ('critique_of_pure_reason', 0.002833333333333333), ('david_hume', 0.0025833333333333333), ('alfred_marshall', 0.002333333333333333), ('the_protestant_ethic_and_the_spirit_of_capitalism', 0.0021666666666666666), ('beyond_good_and_evil', 0.0020833333333333333), ('stoicism', 0.002)]"
106393,"[('franz_boas', 0.001), ('thomas_hobbes', 0.0006666666666666666), ('ferdinand_de_saussure', 0.0006666666666666666), ('edward_sapir', 0.0005), ('sikhism', 0.0005), ('alfred_adler', 0.0003333333333333333), ('beyond_good_and_evil', 0.00025), ('the_republic_(plato)', 0.00025), ('manichaeism', 0.0002), ('abraham_maslow', 0.00016666666666666666), ('max_weber', 0.0)]"
106533,"[('bali', 0.020000000000000004), ('coming_of_age_in_samoa', 0.016666666666666666), ('indra', 0.001), ('baldr', 0.0005), ('epic_of_gilgamesh', 0.0005), ('manichaeism', 0.0003333333333333333), ('sri_lanka', 0.0003333333333333333), ('max_weber', 0), ('great_zimbabwe', 0), ('donatism', 0), ('hades', 0)]"
106925,"[('cybele', 0.025), ('donatism', 0.0005), ('seychelles', 0.0005), ('santeria', 0.0003333333333333333), ('stoicism', 0.0002), ('max_weber', 0), ('great_zimbabwe', 0), ('indra', 0), ('hades', 0), ('milton_friedman', 0), ('brahma', 0)]"
10738,"[('coming_of_age_in_samoa', 0.05), ('david_hume', 0.03503333333333333), ('ruth_benedict', 0.027333333333333338), ('guru_nanak', 0.025416666666666667), ('tantalus', 0.025), ('franz_boas', 0.007833333333333333), ('bronislaw_malinowski', 0.003), ('alfred_marshall', 0.003), ('gunnar_myrdal', 0.002333333333333333), ('stoicism', 0.002), ('alfred_adler', 0.002)]"
10752,"[('abraham_maslow', 0.020000000000000004), ('max_weber', 0), ('great_zimbabwe', 0), ('donatism', 0), ('indra', 0), ('hades', 0), ('milton_friedman', 0), ('brahma', 0), ('ahura_mazda', 0), ('an_enquiry_concerning_human_understanding', 0), ('tezcatlipoca', 0)]"
107821,"[('epicurus', 0.03333333333333333), ('stigmata', 0.03333333333333333), ('sri_lanka', 0.03333333333333333), ('martin_heidegger', 0.0018833333333333334), ('donatism', 0.001), ('stoicism', 0.001), ('druze', 0.001), ('immanuel_kant', 0.0006666666666666666), ('ruth_benedict', 0.0006666666666666666), ('bellerophon', 0.0005833333333333333), ('franz_boas', 0.0005333333333333334)]"
