Question ID,Answer
102781,"[('death_of_a_salesman', 0.08644102564102568), ('cry,_the_beloved_country', 0.06961054670303897), ('sister_carrie', 0.06862727661227663), ('a_good_man_is_hard_to_find_(short_story)', 0.06816666666666668), ('the_tin_drum', 0.06785), ('a_raisin_in_the_sun', 0.06430277777777778), ('the_alchemist_(play)', 0.06119999999999999), ('great_expectations', 0.05528278943278944), ('john_steinbeck', 0.05460530303030304), ('madame_bovary', 0.05417808857808856), ('antigone_(sophocles)', 0.05316666666666666)]"
103026,"[('steppenwolf_(novel)', 0.15741422466422464), ('a_portrait_of_the_artist_as_a_young_man', 0.10253721838197648), ('norman_mailer', 0.10090952380952381), ('the_plague', 0.05605000000000001), ('a_raisin_in_the_sun', 0.05503333333333334), ('pygmalion_(play)', 0.05358333333333334), ('kubla_khan', 0.053000000000000005), ('miguel_angel_asturias', 0.052866666666666666), ('oscar_wilde', 0.05197142857142857), ('margaret_atwood', 0.05196666666666667), ('emile_zola', 0.051500000000000004)]"
104916,"[('spoon_river_anthology', 0.0036666666666666666), ('the_lottery', 0.0032500000000000003), ('sinclair_lewis', 0.0026500000000000004), ('john_steinbeck', 0.0022333333333333337), ('nikolai_gogol', 0.0020333333333333336), ('in_search_of_lost_time', 0.002), ('ethan_frome', 0.0016250000000000001), ('langston_hughes', 0.0015), ('the_ambassadors', 0.0015), ('jack_london', 0.0015), ('a._e._housman', 0.0013333333333333333)]"
105196,"[('ethan_frome', 0.10245000000000001), ('the_alchemist_(play)', 0.0685), (""eugene_o'neill"", 0.05129090909090909), ('madame_bovary', 0.05103333333333334), ('candide', 0.05095), ('a_shropshire_lad', 0.050833333333333335), ('john_donne', 0.05077142857142857), ('maya_angelou', 0.0507), ('cadmus', 0.0507), ('eugene_ionesco', 0.05045370370370371), ('major_barbara', 0.05027692307692308)]"
105378,"[('cry,_the_beloved_country', 0.05353988413547238), ('a_portrait_of_the_artist_as_a_young_man', 0.05100774826059457), ('edna_st._vincent_millay', 0.0505), ('w._b._yeats', 0.03464285714285715), ('george_bernard_shaw', 0.03398611111111111), ('anne_bradstreet', 0.026426923076923077), ('ben_jonson', 0.02629090909090909), ('anna_karenina', 0.025508823529411764), ('umberto_eco', 0.021892857142857148), ('adam_bede_(character)', 0.02095416666666667), ('sons_and_lovers', 0.018882789855072465)]"
106631,"[('arthur_miller', 0.05471858974358974), ('the_great_gatsby', 0.05437619047619049), ('d._h._lawrence', 0.05385238095238096), ('cry,_the_beloved_country', 0.05297506747638327), ('the_iceman_cometh', 0.052539682539682546), ('the_misanthrope', 0.05253156565656565), ('bernard_malamud', 0.05191904761904762), (""who's_afraid_of_virginia_woolf?"", 0.04066666666666666), ('silent_cry', 0.036924242424242436), ('the_seagull', 0.03630952380952381), ('things_fall_apart', 0.03453333333333333)]"
107044,"[('the_misanthrope', 0.05091666666666667), ('george_orwell', 0.0505), ('great_expectations', 0.0505), ('sinclair_lewis', 0.05), ('pablo_neruda', 0.03344444444444444), ('the_grapes_of_wrath', 0.03333333333333333), ('lysistrata', 0.0251), ('northanger_abbey', 0.025), ('the_age_of_innocence', 0.002), ('ralph_ellison', 0.002), ('lolita', 0.0016666666666666666)]"
107205,"[('their_eyes_were_watching_god', 0.10108333333333334), ('the_seagull', 0.08767857142857143), ('joseph_conrad', 0.087275), ('jane_eyre', 0.08713644688644691), ('bleak_house', 0.08677777777777779), ('erich_maria_remarque', 0.06293773448773449), ('w._b._yeats', 0.061533333333333336), ('the_bostonians', 0.05575), ('federico_garcia_lorca', 0.0555297619047619), ('light_in_august', 0.05516830065359477), ('orlando_furioso', 0.0546758658008658)]"
107709,"[('maxim_gorky', 0.10343333333333338), (""midnight's_children"", 0.10314664031620553), ('kate_chopin', 0.10270833333333336), ('ambrose_bierce', 0.10087202380952383), ('jack_london', 0.09100952380952383), ('the_trial', 0.08813376623376623), ('the_mayor_of_casterbridge', 0.07680158730158732), ('george_eliot', 0.07058333333333333), ('a_raisin_in_the_sun', 0.06867063492063495), ('a_clockwork_orange', 0.06803333333333332), ('madame_bovary', 0.06393181818181817)]"
107716,"[('the_rape_of_the_lock', 0.10345833333333335), ('henry_james', 0.10303571428571429), ('madame_bovary', 0.0874524132730015), ('northanger_abbey', 0.08578888888888889), ('great_expectations', 0.08555589133089134), ('sister_carrie', 0.0696215750915751), ('daniel_deronda', 0.06856161236424395), ('pale_fire', 0.06800555555555556), ('the_alchemist_(play)', 0.06329563492063492), ('the_house_of_mirth', 0.056745120885233535), ('sinclair_lewis', 0.054336324786324795)]"
